report_id,timestamp,team_callsign,latitude,longitude,elevation_m,wind_direction_deg,ambient_temp_c,battery_level_percent,signal_strength
201,2025-08-22T06:00:00,GRID001,37.36484123599793,-119.12078370670139,2086.7447509765625,77.23892591663889,33.47230063180268,21.622609774255082,-107.77605196109874
202,2025-08-22T06:04:00,GRID002,37.51547223056258,-118.90211879001005,3489.285400390625,20.351208097503218,24.905153237811632,,
203,2025-08-22T06:08:00,GRID003,37.51899842038677,-119.02855733860872,3042.07275390625,225.0935832687005,35.24890220267794,68.30179321325986,
204,2025-08-22T06:12:00,GRID004,37.439921399837104,-119.16570247622612,2052.3115234375,99.40600219186264,17.27429124403352,26.70120920910665,
205,2025-08-22T06:16:00,GRID005,37.48200474635974,-119.1304407684645,2562.939453125,210.3471242631582,31.257679962120264,58.70706086277237,
206,2025-08-22T06:20:00,Alpha,37.51820870943026,-119.03421036309163,3049.23486328125,207.08828884635238,27.26541338189385,72.2419973908668,
207,2025-08-22T06:24:00,GRID007,37.407753658438025,-119.17390204197908,2280.4150390625,126.1004143559227,24.105021781370635,60.16550062552163,-113.20398229989827
208,2025-08-22T06:28:00,GRID008,37.407672569021976,-118.93814672646681,2461.207763671875,337.2882571645852,22.733693869601353,,
209,2025-08-22T06:32:00,GRID009,37.40224448992329,-118.97702042648535,2737.484130859375,324.76180944308476,33.3473385546963,28.6282312146459,
210,2025-08-22T06:36:00,GRID010,37.363669059458395,-118.93866128104308,2762.657470703125,298.9747316147895,21.014650874682562,43.84752205886735,
211,2025-08-22T06:40:00,GRID011,37.43052338769161,-119.1418951005291,2130.34521484375,324.0154553102731,23.0905639035273,22.942527931130236,
212,2025-08-22T06:44:00,GRID012,37.406357597277726,-118.97367757517998,2785.32080078125,312.71767117736346,30.518670180045035,66.43309508985978,
213,2025-08-22T06:48:00,GRID013,37.41292420195134,-119.11503605009926,2151.804931640625,291.4770413105719,27.59730713244218,73.21418499701929,-115.13171612487243
